"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 21:50:21 GMT 2023","Thu Apr 13 21:50:22 GMT 2023","853","test","test_conduit","Test11ConduitFunction","","","Sikertelen regisztrációs kisérlet - jelszó nélkül",""
"passed","Thu Apr 13 21:50:23 GMT 2023","Thu Apr 13 21:50:26 GMT 2023","2373","test","test_conduit","Test11ConduitFunction","","","Regisztráció - fix (még nem regisztrált) adatokkal",""
"passed","Thu Apr 13 21:51:01 GMT 2023","Thu Apr 13 21:51:02 GMT 2023","1325","test","test_conduit","Test11ConduitFunction","","","Adatlementés ellenőrzése",""
"passed","Thu Apr 13 21:51:03 GMT 2023","Thu Apr 13 21:51:06 GMT 2023","2553","test","test_conduit","Test11ConduitFunction","","","Kilépés sikerességének ellenőrzése",""
"passed","Thu Apr 13 21:50:39 GMT 2023","Thu Apr 13 21:50:41 GMT 2023","2142","test","test_conduit","Test11ConduitFunction","","","Új adat bevitel",""
"failed","Thu Apr 13 21:50:52 GMT 2023","Thu Apr 13 21:51:00 GMT 2023","7374","test","test_conduit","Test11ConduitFunction","","","Új cikk felvétele és törlése",""
"passed","Thu Apr 13 21:50:34 GMT 2023","Thu Apr 13 21:50:34 GMT 2023","270","test","test_conduit","Test11ConduitFunction","","","Cookie policy - ""I accept!"" gombfelírat ellenőrzése",""
"passed","Thu Apr 13 21:50:27 GMT 2023","Thu Apr 13 21:50:29 GMT 2023","2186","test","test_conduit","Test11ConduitFunction","","","Regisztráció - Míg sikeres nem lesz (ha a próbált felhasználónév már foglalt lenne)",""
"passed","Thu Apr 13 21:50:49 GMT 2023","Thu Apr 13 21:50:51 GMT 2023","2202","test","test_conduit","Test11ConduitFunction","","","Meglévő adat módosítás",""
"passed","Thu Apr 13 21:50:42 GMT 2023","Thu Apr 13 21:50:48 GMT 2023","5712","test","test_conduit","Test11ConduitFunction","","","Sorozatos adatbevitel csv fájlból",""
"passed","Thu Apr 13 21:50:37 GMT 2023","Thu Apr 13 21:50:38 GMT 2023","927","test","test_conduit","Test11ConduitFunction","","","Több oldalas lista bejárása",""
"passed","Thu Apr 13 21:50:30 GMT 2023","Thu Apr 13 21:50:33 GMT 2023","2410","test","test_conduit","Test11ConduitFunction","","","Belépés sikerességének ellenőrzése navbar menu elemszámával, a ""Log out"" gomb meglétével",""
"passed","Thu Apr 13 21:50:35 GMT 2023","Thu Apr 13 21:50:36 GMT 2023","900","test","test_conduit","Test11ConduitFunction","","","Adatok listázásának ellenőrzése",""
