"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 20:22:54 GMT 2023","Thu Apr 13 20:22:56 GMT 2023","2201","test","test_conduit_cases","Test11ConduitFunction","","","Regisztráció - Míg sikeres nem lesz (ha a próbált felhasználónév már foglalt lenne)",""
"passed","Thu Apr 13 20:23:02 GMT 2023","Thu Apr 13 20:23:03 GMT 2023","908","test","test_conduit_cases","Test11ConduitFunction","","","Adatok listázásának ellenőrzése",""
"passed","Thu Apr 13 20:22:50 GMT 2023","Thu Apr 13 20:22:52 GMT 2023","2420","test","test_conduit_cases","Test11ConduitFunction","","","Regisztráció - fix (még nem regisztrált) adatokkal",""
"passed","Thu Apr 13 20:23:29 GMT 2023","Thu Apr 13 20:23:30 GMT 2023","1232","test","test_conduit_cases","Test11ConduitFunction","","","Adatlementés ellenőrzése",""
"passed","Thu Apr 13 20:23:16 GMT 2023","Thu Apr 13 20:23:19 GMT 2023","2296","test","test_conduit_cases","Test11ConduitFunction","","","Meglévő adat módosítás",""
"passed","Thu Apr 13 20:23:04 GMT 2023","Thu Apr 13 20:23:05 GMT 2023","911","test","test_conduit_cases","Test11ConduitFunction","","","Több oldalas lista bejárása",""
"passed","Thu Apr 13 20:23:01 GMT 2023","Thu Apr 13 20:23:01 GMT 2023","288","test","test_conduit_cases","Test11ConduitFunction","","","Cookie policy - ""I accept!"" gombfelírat ellenőrzése",""
"passed","Thu Apr 13 20:23:09 GMT 2023","Thu Apr 13 20:23:15 GMT 2023","5741","test","test_conduit_cases","Test11ConduitFunction","","","Sorozatos adatbevitel csv fájlból",""
"passed","Thu Apr 13 20:23:06 GMT 2023","Thu Apr 13 20:23:08 GMT 2023","2056","test","test_conduit_cases","Test11ConduitFunction","","","Új adat bevitel",""
"passed","Thu Apr 13 20:23:31 GMT 2023","Thu Apr 13 20:23:34 GMT 2023","2589","test","test_conduit_cases","Test11ConduitFunction","","","Kilépés sikerességének ellenőrzése",""
"passed","Thu Apr 13 20:22:48 GMT 2023","Thu Apr 13 20:22:49 GMT 2023","878","test","test_conduit_cases","Test11ConduitFunction","","","Sikertelen regisztrációs kisérlet - jelszó nélkül",""
"passed","Thu Apr 13 20:22:57 GMT 2023","Thu Apr 13 20:22:59 GMT 2023","2436","test","test_conduit_cases","Test11ConduitFunction","","","Belépés sikerességének ellenőrzése navbar menu elemszámával, a ""Log out"" gomb meglétével",""
"passed","Thu Apr 13 20:23:20 GMT 2023","Thu Apr 13 20:23:27 GMT 2023","7708","test","test_conduit_cases","Test11ConduitFunction","","","Új cikk felvétele és törlése",""
