"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 07:55:39 GMT 2023","Thu Mar 30 07:55:39 GMT 2023","0","test","test_as_pytest_sign_up_neg&poz","TestSingUp","","","test_sign_up_negativ_and_pozitiv",""
"passed","Thu Mar 30 07:55:49 GMT 2023","Thu Mar 30 07:55:50 GMT 2023","1000","test","test_as_pytest_sign_up_neg&poz","TestSingUp","","","test_sign_up_direct_negativ",""
