"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 16:35:57 GMT 2023","Sun Apr 09 16:35:58 GMT 2023","1113","test","test_as_pytest_sign_up_neg&poz","TestSingUp","","","Regisztrációs kisérlet - jelszó nélkül",""
"passed","Sun Apr 09 16:35:52 GMT 2023","Sun Apr 09 16:35:55 GMT 2023","2773","test","test_as_pytest_sign_up_neg&poz","TestSingUp","","","Regisztráció - Míg sikeres nem lesz",""
"broken","Sun Apr 09 16:35:45 GMT 2023","Sun Apr 09 16:35:45 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Cookie policy acceptance",""
"broken","Sun Apr 09 16:35:40 GMT 2023","Sun Apr 09 16:35:40 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Regisztrációs kisérlet - jelszó nélkül",""
"passed","Sun Apr 09 16:35:48 GMT 2023","Sun Apr 09 16:35:49 GMT 2023","125","test","test_all_of_them","TestSingUp","","","Regisztráció - Míg sikeres nem lesz",""
"broken","Sun Apr 09 16:35:42 GMT 2023","Sun Apr 09 16:35:42 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Regisztráció - fix adatokkal (samsara!)",""
"broken","Sun Apr 09 16:35:44 GMT 2023","Sun Apr 09 16:35:44 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Belépés sikerességének ellenőrzése",""
"passed","Sun Apr 09 16:35:50 GMT 2023","Sun Apr 09 16:35:51 GMT 2023","1078","test","test_all_of_them","TestSingUp","","","Regisztrációs kisérlet - jelszó nélkül",""
"broken","Sun Apr 09 16:35:43 GMT 2023","Sun Apr 09 16:35:43 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Regisztráció - Míg sikeres nem lesz",""
