"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 00:20:06 GMT 2023","Wed Apr 12 00:20:07 GMT 2023","1111","test","test_all_cases_v2","Test11ConduitFunction","","","Sikertelen regisztrációs kisérlet - jelszó nélkül",""
"passed","Wed Apr 12 00:20:08 GMT 2023","Wed Apr 12 00:20:10 GMT 2023","2445","test","test_all_cases_v2","Test11ConduitFunction","","","Regisztráció - fix (még nem regisztrált) adatokkal",""
"passed","Wed Apr 12 00:20:19 GMT 2023","Wed Apr 12 00:20:19 GMT 2023","269","test","test_all_cases_v2","Test11ConduitFunction","","","Cookie policy - ""I accept!"" gombfelírat ellenőrzése",""
"passed","Wed Apr 12 00:20:20 GMT 2023","Wed Apr 12 00:20:21 GMT 2023","932","test","test_all_cases_v2","Test11ConduitFunction","","","Adatok listázásának ellenőrzése",""
"passed","Wed Apr 12 00:20:15 GMT 2023","Wed Apr 12 00:20:17 GMT 2023","2406","test","test_all_cases_v2","Test11ConduitFunction","","","Belépés sikerességének ellenőrzése navbar menu elemszámával, a ""Log out"" gomb meglétével",""
"passed","Wed Apr 12 00:20:35 GMT 2023","Wed Apr 12 00:20:37 GMT 2023","2184","test","test_all_cases_v2","Test11ConduitFunction","","","Meglévő adat módosítás",""
"passed","Wed Apr 12 00:20:25 GMT 2023","Wed Apr 12 00:20:27 GMT 2023","2605","test","test_all_cases_v2","Test11ConduitFunction","","","Új adat bevitel",""
"broken","Wed Apr 12 00:20:38 GMT 2023","Wed Apr 12 00:20:45 GMT 2023","7069","test","test_all_cases_v2","Test11ConduitFunction","","","Új cikk felvétele és törlése",""
"passed","Wed Apr 12 00:20:46 GMT 2023","Wed Apr 12 00:20:49 GMT 2023","2511","test","test_all_cases_v2","Test11ConduitFunction","","","Kilépés sikerességének ellenőrzése",""
"passed","Wed Apr 12 00:20:12 GMT 2023","Wed Apr 12 00:20:14 GMT 2023","2094","test","test_all_cases_v2","Test11ConduitFunction","","","Regisztráció - Míg sikeres nem lesz (ha a próbált felhasználónév már foglalt lenne)",""
"passed","Wed Apr 12 00:20:29 GMT 2023","Wed Apr 12 00:20:33 GMT 2023","4800","test","test_all_cases_v2","Test11ConduitFunction","","","Sorozatos adatbevitel csv fájlból",""
"passed","Wed Apr 12 00:20:22 GMT 2023","Wed Apr 12 00:20:24 GMT 2023","1377","test","test_all_cases_v2","Test11ConduitFunction","","","Több oldalas lista bejárása",""
