"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 01:21:34 GMT 2023","Wed Apr 12 01:21:41 GMT 2023","6511","test","test_all_cases_v2","Test11ConduitFunction","","","Sorozatos adatbevitel csv fájlból",""
"passed","Wed Apr 12 01:21:23 GMT 2023","Wed Apr 12 01:21:24 GMT 2023","336","test","test_all_cases_v2","Test11ConduitFunction","","","Cookie policy - ""I accept!"" gombfelírat ellenőrzése",""
"passed","Wed Apr 12 01:21:55 GMT 2023","Wed Apr 12 01:21:57 GMT 2023","2656","test","test_all_cases_v2","Test11ConduitFunction","","","Kilépés sikerességének ellenőrzése",""
"passed","Wed Apr 12 01:21:20 GMT 2023","Wed Apr 12 01:21:22 GMT 2023","2532","test","test_all_cases_v2","Test11ConduitFunction","","","Belépés sikerességének ellenőrzése navbar menu elemszámával, a ""Log out"" gomb meglétével",""
"passed","Wed Apr 12 01:21:42 GMT 2023","Wed Apr 12 01:21:45 GMT 2023","2400","test","test_all_cases_v2","Test11ConduitFunction","","","Meglévő adat módosítás",""
"passed","Wed Apr 12 01:21:10 GMT 2023","Wed Apr 12 01:21:11 GMT 2023","948","test","test_all_cases_v2","Test11ConduitFunction","","","Sikertelen regisztrációs kisérlet - jelszó nélkül",""
"passed","Wed Apr 12 01:21:30 GMT 2023","Wed Apr 12 01:21:33 GMT 2023","2870","test","test_all_cases_v2","Test11ConduitFunction","","","Új adat bevitel",""
"passed","Wed Apr 12 01:21:25 GMT 2023","Wed Apr 12 01:21:26 GMT 2023","1104","test","test_all_cases_v2","Test11ConduitFunction","","","Adatok listázásának ellenőrzése",""
"passed","Wed Apr 12 01:21:28 GMT 2023","Wed Apr 12 01:21:29 GMT 2023","1490","test","test_all_cases_v2","Test11ConduitFunction","","","Több oldalas lista bejárása",""
"passed","Wed Apr 12 01:21:16 GMT 2023","Wed Apr 12 01:21:18 GMT 2023","2340","test","test_all_cases_v2","Test11ConduitFunction","","","Regisztráció - Míg sikeres nem lesz (ha a próbált felhasználónév már foglalt lenne)",""
"broken","Wed Apr 12 01:21:46 GMT 2023","Wed Apr 12 01:21:53 GMT 2023","7414","test","test_all_cases_v2","Test11ConduitFunction","","","Új cikk felvétele és törlése",""
"passed","Wed Apr 12 01:21:12 GMT 2023","Wed Apr 12 01:21:15 GMT 2023","2510","test","test_all_cases_v2","Test11ConduitFunction","","","Regisztráció - fix (még nem regisztrált) adatokkal",""
