"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 23:46:45 GMT 2023","Mon Apr 10 23:46:46 GMT 2023","1513","test","test_all_cases_v2","Test11ConduitFunction","","","Több oldalas lista bejárása",""
"passed","Mon Apr 10 23:46:59 GMT 2023","Mon Apr 10 23:47:01 GMT 2023","1062","test","test_as_pytest_sign_up_neg&poz","TestSingUp","","","Regisztrációs kisérlet - jelszó nélkül",""
"passed","Mon Apr 10 23:46:56 GMT 2023","Mon Apr 10 23:46:58 GMT 2023","2490","test","test_as_pytest_sign_up_neg&poz","TestSingUp","","","Regisztráció - Míg sikeres nem lesz",""
"passed","Mon Apr 10 23:46:36 GMT 2023","Mon Apr 10 23:46:38 GMT 2023","2547","test","test_all_cases_v2","Test11ConduitFunction","","","Belépés sikerességének ellenőrzése navbar menu elemszámával, a ""Log out"" gomb meglétével",""
"passed","Mon Apr 10 23:46:29 GMT 2023","Mon Apr 10 23:46:31 GMT 2023","2555","test","test_all_cases_v2","Test11ConduitFunction","","","Regisztráció - fix (még nem regisztrált) adatokkal",""
"passed","Mon Apr 10 23:46:40 GMT 2023","Mon Apr 10 23:46:41 GMT 2023","926","test","test_all_cases_v2","Test11ConduitFunction","","","Cookie policy - ""I accept!"" gombfelírat ellenőrzése",""
"failed","Mon Apr 10 23:46:33 GMT 2023","Mon Apr 10 23:46:34 GMT 2023","1583","test","test_all_cases_v2","Test11ConduitFunction","","","Regisztráció - Míg sikeres nem lesz (ha a próbált felhasználónév már foglalt lenne)",""
"passed","Mon Apr 10 23:46:27 GMT 2023","Mon Apr 10 23:46:28 GMT 2023","937","test","test_all_cases_v2","Test11ConduitFunction","","","Sikertelen regisztrációs kisérlet - jelszó nélkül",""
"passed","Mon Apr 10 23:46:42 GMT 2023","Mon Apr 10 23:46:43 GMT 2023","1102","test","test_all_cases_v2","Test11ConduitFunction","","","Adatok listázásának ellenőrzése",""
"passed","Mon Apr 10 23:46:47 GMT 2023","Mon Apr 10 23:46:50 GMT 2023","2858","test","test_all_cases_v2","Test11ConduitFunction","","","Új adat bevitel",""
"passed","Mon Apr 10 23:46:52 GMT 2023","Mon Apr 10 23:46:54 GMT 2023","2655","test","test_all_cases_v2","Test11ConduitFunction","","","Kilépés sikerességének ellenőrzése",""
