"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 16:43:03 GMT 2023","Sun Apr 09 16:43:06 GMT 2023","2940","test","test_as_pytest_sign_up_neg&poz","TestSingUp","","","Regisztráció - Míg sikeres nem lesz",""
"broken","Sun Apr 09 16:42:56 GMT 2023","Sun Apr 09 16:42:56 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Regisztráció - Míg sikeres nem lesz",""
"broken","Sun Apr 09 16:42:58 GMT 2023","Sun Apr 09 16:42:58 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Cookie policy acceptance",""
"passed","Sun Apr 09 16:43:07 GMT 2023","Sun Apr 09 16:43:08 GMT 2023","1066","test","test_as_pytest_sign_up_neg&poz","TestSingUp","","","Regisztrációs kisérlet - jelszó nélkül",""
"broken","Sun Apr 09 16:42:49 GMT 2023","Sun Apr 09 16:42:49 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Regisztrációs kisérlet - jelszó nélkül",""
"broken","Sun Apr 09 16:42:55 GMT 2023","Sun Apr 09 16:42:55 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Regisztráció - fix adatokkal (samsara!)",""
"broken","Sun Apr 09 16:42:57 GMT 2023","Sun Apr 09 16:42:57 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Belépés sikerességének ellenőrzése",""
