"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 00:14:10 GMT 2023","Wed Apr 12 00:14:15 GMT 2023","5856","test","test_all_cases_v2","Test11ConduitFunction","","","Sorozatos adatbevitel csv fájlból",""
"passed","Wed Apr 12 00:14:00 GMT 2023","Wed Apr 12 00:14:01 GMT 2023","308","test","test_all_cases_v2","Test11ConduitFunction","","","Cookie policy - ""I accept!"" gombfelírat ellenőrzése",""
"passed","Wed Apr 12 00:13:54 GMT 2023","Wed Apr 12 00:13:56 GMT 2023","1377","test","test_all_cases_v2","Test11ConduitFunction","","","Regisztráció - Míg sikeres nem lesz (ha a próbált felhasználónév már foglalt lenne)",""
"passed","Wed Apr 12 00:14:02 GMT 2023","Wed Apr 12 00:14:03 GMT 2023","944","test","test_all_cases_v2","Test11ConduitFunction","","","Adatok listázásának ellenőrzése",""
"passed","Wed Apr 12 00:13:48 GMT 2023","Wed Apr 12 00:13:49 GMT 2023","1062","test","test_all_cases_v2","Test11ConduitFunction","","","Sikertelen regisztrációs kisérlet - jelszó nélkül",""
"passed","Wed Apr 12 00:14:17 GMT 2023","Wed Apr 12 00:14:19 GMT 2023","2719","test","test_all_cases_v2","Test11ConduitFunction","","","Meglévő adat módosítás",""
"passed","Wed Apr 12 00:14:06 GMT 2023","Wed Apr 12 00:14:08 GMT 2023","2123","test","test_all_cases_v2","Test11ConduitFunction","","","Új adat bevitel",""
"broken","Wed Apr 12 00:14:21 GMT 2023","Wed Apr 12 00:14:27 GMT 2023","6694","test","test_all_cases_v2","Test11ConduitFunction","","","Új cikk felvétele és törlése",""
"passed","Wed Apr 12 00:13:50 GMT 2023","Wed Apr 12 00:13:53 GMT 2023","2478","test","test_all_cases_v2","Test11ConduitFunction","","","Regisztráció - fix (még nem regisztrált) adatokkal",""
"passed","Wed Apr 12 00:13:57 GMT 2023","Wed Apr 12 00:13:59 GMT 2023","2459","test","test_all_cases_v2","Test11ConduitFunction","","","Belépés sikerességének ellenőrzése navbar menu elemszámával, a ""Log out"" gomb meglétével",""
"passed","Wed Apr 12 00:14:04 GMT 2023","Wed Apr 12 00:14:05 GMT 2023","936","test","test_all_cases_v2","Test11ConduitFunction","","","Több oldalas lista bejárása",""
"passed","Wed Apr 12 00:14:29 GMT 2023","Wed Apr 12 00:14:31 GMT 2023","2563","test","test_all_cases_v2","Test11ConduitFunction","","","Kilépés sikerességének ellenőrzése",""
