"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 00:13:11 GMT 2023","Tue Apr 11 00:13:13 GMT 2023","2506","test","test_all_cases_v2","Test11ConduitFunction","","","Regisztráció - fix (még nem regisztrált) adatokkal",""
"passed","Tue Apr 11 00:13:08 GMT 2023","Tue Apr 11 00:13:09 GMT 2023","1132","test","test_all_cases_v2","Test11ConduitFunction","","","Sikertelen regisztrációs kisérlet - jelszó nélkül",""
"passed","Tue Apr 11 00:13:26 GMT 2023","Tue Apr 11 00:13:29 GMT 2023","2550","test","test_all_cases_v2","Test11ConduitFunction","","","Új adat bevitel",""
"passed","Tue Apr 11 00:13:21 GMT 2023","Tue Apr 11 00:13:21 GMT 2023","297","test","test_all_cases_v2","Test11ConduitFunction","","","Cookie policy - ""I accept!"" gombfelírat ellenőrzése",""
"passed","Tue Apr 11 00:13:22 GMT 2023","Tue Apr 11 00:13:23 GMT 2023","922","test","test_all_cases_v2","Test11ConduitFunction","","","Adatok listázásának ellenőrzése",""
"passed","Tue Apr 11 00:13:24 GMT 2023","Tue Apr 11 00:13:25 GMT 2023","915","test","test_all_cases_v2","Test11ConduitFunction","","","Több oldalas lista bejárása",""
"passed","Tue Apr 11 00:13:37 GMT 2023","Tue Apr 11 00:13:38 GMT 2023","1022","test","test_as_pytest_sign_up_neg&poz","TestSingUp","","","Regisztrációs kisérlet - jelszó nélkül",""
"passed","Tue Apr 11 00:13:34 GMT 2023","Tue Apr 11 00:13:36 GMT 2023","2198","test","test_as_pytest_sign_up_neg&poz","TestSingUp","","","Regisztráció - Míg sikeres nem lesz",""
"passed","Tue Apr 11 00:13:30 GMT 2023","Tue Apr 11 00:13:33 GMT 2023","2542","test","test_all_cases_v2","Test11ConduitFunction","","","Kilépés sikerességének ellenőrzése",""
"passed","Tue Apr 11 00:13:17 GMT 2023","Tue Apr 11 00:13:19 GMT 2023","2450","test","test_all_cases_v2","Test11ConduitFunction","","","Belépés sikerességének ellenőrzése navbar menu elemszámával, a ""Log out"" gomb meglétével",""
"failed","Tue Apr 11 00:13:14 GMT 2023","Tue Apr 11 00:13:16 GMT 2023","1390","test","test_all_cases_v2","Test11ConduitFunction","","","Regisztráció - Míg sikeres nem lesz (ha a próbált felhasználónév már foglalt lenne)",""
