"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 21 18:45:48 GMT 2023","Fri Apr 21 18:45:54 GMT 2023","6161","test","test_conduit","Test11ConduitFunction","","","Sorozatos adatbevitel csv fájlból",""
"passed","Fri Apr 21 18:45:39 GMT 2023","Fri Apr 21 18:45:39 GMT 2023","245","test","test_conduit","Test11ConduitFunction","","","Cookie policy - ""I accept!"" gombfelírat ellenőrzése",""
"passed","Fri Apr 21 18:46:08 GMT 2023","Fri Apr 21 18:46:10 GMT 2023","2502","test","test_conduit","Test11ConduitFunction","","","Kilépés sikerességének ellenőrzése",""
"passed","Fri Apr 21 18:45:40 GMT 2023","Fri Apr 21 18:45:41 GMT 2023","910","test","test_conduit","Test11ConduitFunction","","","Adatok listázásának ellenőrzése",""
"failed","Fri Apr 21 18:45:58 GMT 2023","Fri Apr 21 18:46:04 GMT 2023","5972","test","test_conduit","Test11ConduitFunction","","","Új cikk felvétele és törlése",""
"passed","Fri Apr 21 18:46:05 GMT 2023","Fri Apr 21 18:46:07 GMT 2023","1263","test","test_conduit","Test11ConduitFunction","","","Adatlementés ellenőrzése",""
"passed","Fri Apr 21 18:45:29 GMT 2023","Fri Apr 21 18:45:31 GMT 2023","2401","test","test_conduit","Test11ConduitFunction","","","Regisztráció - fix (még nem regisztrált) adatokkal",""
"passed","Fri Apr 21 18:45:55 GMT 2023","Fri Apr 21 18:45:57 GMT 2023","2233","test","test_conduit","Test11ConduitFunction","","","Meglévő adat módosítás",""
"passed","Fri Apr 21 18:45:35 GMT 2023","Fri Apr 21 18:45:38 GMT 2023","2437","test","test_conduit","Test11ConduitFunction","","","Belépés sikerességének ellenőrzése navbar menu elemszámával, a ""Log out"" gomb meglétével",""
"passed","Fri Apr 21 18:45:26 GMT 2023","Fri Apr 21 18:45:28 GMT 2023","1105","test","test_conduit","Test11ConduitFunction","","","Sikertelen regisztrációs kisérlet - jelszó nélkül",""
"passed","Fri Apr 21 18:45:32 GMT 2023","Fri Apr 21 18:45:34 GMT 2023","2112","test","test_conduit","Test11ConduitFunction","","","Regisztráció - Míg sikeres nem lesz (ha a próbált felhasználónév már foglalt lenne)",""
"passed","Fri Apr 21 18:45:42 GMT 2023","Fri Apr 21 18:45:43 GMT 2023","914","test","test_conduit","Test11ConduitFunction","","","Több oldalas lista bejárása",""
"passed","Fri Apr 21 18:45:44 GMT 2023","Fri Apr 21 18:45:47 GMT 2023","2511","test","test_conduit","Test11ConduitFunction","","","Új adat bevitel",""
