"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 00:30:01 GMT 2023","Tue Apr 11 00:30:02 GMT 2023","927","test","test_all_cases_v2","Test11ConduitFunction","","","Adatok listázásának ellenőrzése",""
"passed","Tue Apr 11 00:30:04 GMT 2023","Tue Apr 11 00:30:05 GMT 2023","1379","test","test_all_cases_v2","Test11ConduitFunction","","","Több oldalas lista bejárása",""
"passed","Tue Apr 11 00:29:50 GMT 2023","Tue Apr 11 00:29:52 GMT 2023","2362","test","test_all_cases_v2","Test11ConduitFunction","","","Regisztráció - fix (még nem regisztrált) adatokkal",""
"passed","Tue Apr 11 00:30:00 GMT 2023","Tue Apr 11 00:30:00 GMT 2023","259","test","test_all_cases_v2","Test11ConduitFunction","","","Cookie policy - ""I accept!"" gombfelírat ellenőrzése",""
"passed","Tue Apr 11 00:29:48 GMT 2023","Tue Apr 11 00:29:49 GMT 2023","833","test","test_all_cases_v2","Test11ConduitFunction","","","Sikertelen regisztrációs kisérlet - jelszó nélkül",""
"passed","Tue Apr 11 00:29:54 GMT 2023","Tue Apr 11 00:29:55 GMT 2023","1401","test","test_all_cases_v2","Test11ConduitFunction","","","Regisztráció - Míg sikeres nem lesz (ha a próbált felhasználónév már foglalt lenne)",""
"passed","Tue Apr 11 00:30:10 GMT 2023","Tue Apr 11 00:30:12 GMT 2023","2508","test","test_all_cases_v2","Test11ConduitFunction","","","Kilépés sikerességének ellenőrzése",""
"passed","Tue Apr 11 00:30:06 GMT 2023","Tue Apr 11 00:30:08 GMT 2023","2085","test","test_all_cases_v2","Test11ConduitFunction","","","Új adat bevitel",""
"passed","Tue Apr 11 00:30:17 GMT 2023","Tue Apr 11 00:30:18 GMT 2023","923","test","test_as_pytest_sign_up_neg&poz","TestSingUp","","","Regisztrációs kisérlet - jelszó nélkül",""
"passed","Tue Apr 11 00:30:13 GMT 2023","Tue Apr 11 00:30:16 GMT 2023","2209","test","test_as_pytest_sign_up_neg&poz","TestSingUp","","","Regisztráció - Míg sikeres nem lesz",""
"passed","Tue Apr 11 00:29:56 GMT 2023","Tue Apr 11 00:29:59 GMT 2023","2408","test","test_all_cases_v2","Test11ConduitFunction","","","Belépés sikerességének ellenőrzése navbar menu elemszámával, a ""Log out"" gomb meglétével",""
