"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 09 16:35:15 GMT 2023","Sun Apr 09 16:35:15 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Cookie policy acceptance",""
"passed","Sun Apr 09 16:35:19 GMT 2023","Sun Apr 09 16:35:20 GMT 2023","960","test","test_all_of_them","TestSingUp","","","Regisztrációs kisérlet - jelszó nélkül",""
"broken","Sun Apr 09 16:35:14 GMT 2023","Sun Apr 09 16:35:14 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Belépés sikerességének ellenőrzése",""
"broken","Sun Apr 09 16:35:12 GMT 2023","Sun Apr 09 16:35:12 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Regisztráció - fix adatokkal (samsara!)",""
"passed","Sun Apr 09 16:35:25 GMT 2023","Sun Apr 09 16:35:26 GMT 2023","1037","test","test_as_pytest_sign_up_neg&poz","TestSingUp","","","Regisztrációs kisérlet - jelszó nélkül",""
"passed","Sun Apr 09 16:35:21 GMT 2023","Sun Apr 09 16:35:24 GMT 2023","2490","test","test_as_pytest_sign_up_neg&poz","TestSingUp","","","Regisztráció - Míg sikeres nem lesz",""
"broken","Sun Apr 09 16:35:11 GMT 2023","Sun Apr 09 16:35:11 GMT 2023","0","test","test_all_cases","TestSingUp","","","Belépés sikerességének ellenőrzése",""
"broken","Sun Apr 09 16:35:13 GMT 2023","Sun Apr 09 16:35:13 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Regisztráció - Míg sikeres nem lesz",""
"broken","Sun Apr 09 16:35:10 GMT 2023","Sun Apr 09 16:35:10 GMT 2023","0","test","test_all_cases","TestSingUp","","","Regisztrációs kisérlet - jelszó nélkül",""
"broken","Sun Apr 09 16:35:07 GMT 2023","Sun Apr 09 16:35:07 GMT 2023","0","test","test_all_cases","TestSingUp","","","Regisztráció - fix adatokkal (samsara!)",""
"passed","Sun Apr 09 16:35:17 GMT 2023","Sun Apr 09 16:35:17 GMT 2023","111","test","test_all_of_them","TestSingUp","","","Regisztráció - Míg sikeres nem lesz",""
"broken","Sun Apr 09 16:35:11 GMT 2023","Sun Apr 09 16:35:11 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Regisztrációs kisérlet - jelszó nélkül",""
"broken","Sun Apr 09 16:35:09 GMT 2023","Sun Apr 09 16:35:09 GMT 2023","0","test","test_all_cases","TestSingUp","","","Regisztráció - Míg sikeres nem lesz",""
