"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 09 16:34:06 GMT 2023","Sun Apr 09 16:34:06 GMT 2023","0","test","test_all_cases","TestSingUp","","","Regisztrációs kisérlet - jelszó nélkül",""
"broken","Sun Apr 09 16:34:09 GMT 2023","Sun Apr 09 16:34:09 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Regisztráció - fix adatokkal (samsara!)",""
"passed","Sun Apr 09 16:34:15 GMT 2023","Sun Apr 09 16:34:16 GMT 2023","856","test","test_all_of_them","TestSingUp","","","Regisztrációs kisérlet - jelszó nélkül",""
"broken","Sun Apr 09 16:34:04 GMT 2023","Sun Apr 09 16:34:04 GMT 2023","0","test","test_all_case_in_one","TestSingUp","","","Regisztrációs kisérlet - jelszó nélkül",""
"broken","Sun Apr 09 16:34:07 GMT 2023","Sun Apr 09 16:34:07 GMT 2023","0","test","test_all_cases","TestSingUp","","","Belépés sikerességének ellenőrzése",""
"passed","Sun Apr 09 16:34:14 GMT 2023","Sun Apr 09 16:34:14 GMT 2023","81","test","test_all_of_them","TestSingUp","","","Regisztráció - Míg sikeres nem lesz",""
"broken","Sun Apr 09 16:34:11 GMT 2023","Sun Apr 09 16:34:11 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Cookie policy acceptance",""
"broken","Sun Apr 09 16:34:08 GMT 2023","Sun Apr 09 16:34:08 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Regisztrációs kisérlet - jelszó nélkül",""
"passed","Sun Apr 09 16:34:21 GMT 2023","Sun Apr 09 16:34:22 GMT 2023","929","test","test_as_pytest_sign_up_neg&poz","TestSingUp","","","Regisztrációs kisérlet - jelszó nélkül",""
"broken","Sun Apr 09 16:34:10 GMT 2023","Sun Apr 09 16:34:10 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Regisztráció - Míg sikeres nem lesz",""
"broken","Sun Apr 09 16:34:05 GMT 2023","Sun Apr 09 16:34:05 GMT 2023","0","test","test_all_cases","TestSingUp","","","Regisztráció - fix adatokkal (samsara!)",""
"passed","Sun Apr 09 16:34:17 GMT 2023","Sun Apr 09 16:34:19 GMT 2023","2428","test","test_as_pytest_sign_up_neg&poz","TestSingUp","","","Regisztráció - Míg sikeres nem lesz",""
"broken","Sun Apr 09 16:34:05 GMT 2023","Sun Apr 09 16:34:05 GMT 2023","0","test","test_all_cases","TestSingUp","","","Regisztráció - Míg sikeres nem lesz",""
"broken","Sun Apr 09 16:34:02 GMT 2023","Sun Apr 09 16:34:02 GMT 2023","0","test","test_all_case_in_one","TestSingUp","","","Regisztráció - Míg sikeres nem lesz",""
"broken","Sun Apr 09 16:34:10 GMT 2023","Sun Apr 09 16:34:10 GMT 2023","0","test","test_all_cases_v2","TestSingUp","","","Belépés sikerességének ellenőrzése",""
