"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 00:33:33 GMT 2023","Wed Apr 12 00:33:34 GMT 2023","1372","test","test_all_cases_v2","Test11ConduitFunction","","","Több oldalas lista bejárása",""
"passed","Wed Apr 12 00:33:29 GMT 2023","Wed Apr 12 00:33:29 GMT 2023","252","test","test_all_cases_v2","Test11ConduitFunction","","","Cookie policy - ""I accept!"" gombfelírat ellenőrzése",""
"passed","Wed Apr 12 00:33:36 GMT 2023","Wed Apr 12 00:33:37 GMT 2023","1569","test","test_all_cases_v2","Test11ConduitFunction","","","Új adat bevitel",""
"passed","Wed Apr 12 00:33:19 GMT 2023","Wed Apr 12 00:33:22 GMT 2023","2361","test","test_all_cases_v2","Test11ConduitFunction","","","Regisztráció - fix (még nem regisztrált) adatokkal",""
"passed","Wed Apr 12 00:33:57 GMT 2023","Wed Apr 12 00:34:00 GMT 2023","2500","test","test_all_cases_v2","Test11ConduitFunction","","","Kilépés sikerességének ellenőrzése",""
"passed","Wed Apr 12 00:33:25 GMT 2023","Wed Apr 12 00:33:28 GMT 2023","2398","test","test_all_cases_v2","Test11ConduitFunction","","","Belépés sikerességének ellenőrzése navbar menu elemszámával, a ""Log out"" gomb meglétével",""
"passed","Wed Apr 12 00:33:31 GMT 2023","Wed Apr 12 00:33:32 GMT 2023","914","test","test_all_cases_v2","Test11ConduitFunction","","","Adatok listázásának ellenőrzése",""
"passed","Wed Apr 12 00:33:17 GMT 2023","Wed Apr 12 00:33:18 GMT 2023","817","test","test_all_cases_v2","Test11ConduitFunction","","","Sikertelen regisztrációs kisérlet - jelszó nélkül",""
"broken","Wed Apr 12 00:33:49 GMT 2023","Wed Apr 12 00:33:56 GMT 2023","6666","test","test_all_cases_v2","Test11ConduitFunction","","","Új cikk felvétele és törlése",""
"passed","Wed Apr 12 00:33:23 GMT 2023","Wed Apr 12 00:33:24 GMT 2023","1377","test","test_all_cases_v2","Test11ConduitFunction","","","Regisztráció - Míg sikeres nem lesz (ha a próbált felhasználónév már foglalt lenne)",""
"passed","Wed Apr 12 00:33:45 GMT 2023","Wed Apr 12 00:33:48 GMT 2023","2651","test","test_all_cases_v2","Test11ConduitFunction","","","Meglévő adat módosítás",""
"passed","Wed Apr 12 00:33:39 GMT 2023","Wed Apr 12 00:33:44 GMT 2023","5623","test","test_all_cases_v2","Test11ConduitFunction","","","Sorozatos adatbevitel csv fájlból",""
